recipe_id,title,category,ingredients_cleaned
5834e241e4ca4993b1681510a693a34d,Ayam Bumbu Kuning,ayam,"sayap ayam potong , kelapa parut , bawang merah , bawang putih , kunyit kunyit , garam , merica , pala bubuk , air , minyak goreng , serai memarkan , salam , lengkuas"
869fd37152b8441bb1fa028630e24c7e,Soto Ayam Kampung,ayam,"ayam kampung , serai geprek , daun jeruk , daun seledri , daun bawang , bawang goreng , jeruk nipis , bumbu dihaluskan , bawang merah , bawang putih , kunyit , jahe , laos , merica bubuk , pelengkap , bihun soun , gubis , kecambah"
164de408013b42289ade7a2c6b3af980,Mie Ayam By Dapur Mama R & M,ayam,"ayam separuh dada ayam , mie telor , pokcoy , daun bawang , daun salam , air , gula , garam , kecap , penyedap , bawang putih , bawang putih geprek , bawang merah , ketumbar , kemiri , kunyit , lada"
c3ca6a4b6085422980f2f0372dcca571,Steak Ayam Saos Lada Hitam,ayam,"filetan dada ayam , bumbu ayamnya , lada hitam , royco ayam , bubuk bawang putih , tepung , tepung , lada , royco , bawang putih , telur , minyak , wijen hiasan , wortel , kentang , buncis lalapan , saos , saos tiram , bawang bombai , bawang putuh , royco , gulpas , lada , larutan meizena , air"
04794d6aa4e249af9f2cb67a6c659502,Ayam Saos Nanas Pedas Manis,ayam,"dada ayam filet , tepung maizena , kecap asin , saos pedas , minyak wijen , kecap manis , saos tiram , lada , bawang putih , bawang bombai potong kotak , paprika potong kotak cabe merah , bbrp potong nanas , gula garam"
a7738496214244f68c26ace8dd7195bf,Ayam Santan Ngamuk,ayam,"ayam , potong , bawang putih , bawang merah , cabe merah , gula merah , kecap manis , daun jeruk , kemiri , goreng , jeruk limau , lada , santan kental , gula pasir , garam , air"
b1f1d329fc09401fb665a24232964be1,Ayam Asam Manis,ayam,"ayam potong , tepung , biji telur , saos , cabe merah buang biji , memanjang , bawang bombai , bawang putih , wortel memanjang , kacang polong , saus tomat , saos sambal , tepung maizena dilarutkan"
2c847cbea8a44de1a32123ee345964e0,Ayam Bumbu Betutu,ayam,"ayam kampung , bawang merah , bawang putih , lengkuas , cabe rawit merah , cabe merah , kemiri , kunyit , ketumbar , terasi abc , serai , daun jaruk , daun salam"
c8d5f6f1222b4f52996057c85ffc52bf,Ayam Kecap Manis Cabai,ayam,"ayam , bw putih , geprek cincang , cabe merah , serong , merica bubuk , kecap manis , air , garam , minyak sayur , daun bawang , utk taburan"
73442804880a45ae8befb5d0332cb425,Spicy Chicken Wings Keto/Low Carb,ayam,"sayap ayam belah , bumbu rendam , bawang putih haluskan bawang putih powder kl , blm , lada lada hitam , garam , cabe bubuk , tambahkan pedas , bumbu siram , s butter , s kecap tropicana slim , kecap asin , cabe bubuk , garam , air matang , minyak goreng"
049f9708bcfc4ceda79c51c0dab93818,Ayam Pedas Kemangi,ayam,"ayam , daun kemangi , serai geprak , daun salam , daun jeruk , laos geprak , jeruk nipis , gula , garam , merica bubuk , kaldu ayam , bumbu halus , bawang putih , bawang merah , cabe merah , cabe rawit , kemiri , biji ketumbar , jahe , kunyit"
d8da60f20ca9495cb63de892dad23f87,Sup Ayam Segarrrrr,ayam,"dada ayam n kotak dadu , air , garam halus , gula pasir , merica , daun bawang , n , seledri , n , serai , n geprek , daun salam , daun jeruk , jahe , kupas , n geprek , bumbu digoreng layu , bawang merah kupas n , bawang putih kupas n , sayuran , wortel kupas , n , kembang kol , petik kuntumnya n , kentang kupas n n , buncis , bersihkan pinggirnya n"
89a4f5dd980d4c938c4135e20d6c9afa,Steak Ayam Panir Keju,ayam,"dada ayam filet , tepung terigu , telur kocok lepas , cabe bubuk , tepung panir , keju parut blh , marinate , susu cair , garam , merica , bawang putih , haluskan"
d792ba5c3b284fb0ae9d1abbf3e48412,Grilled Chicken Breast,ayam,"potong dada ayam fillet , bawang bombai memanjang , paprika merah memanjang , bawang putih cincang , keju melted , garam , lada , minyak sayur olive , hiasan , selada , tomat"
5a2e353c896d4f72b647e5479db7367d,Sambal Ayam Penyet,ayam,"ayam goreng resep ungkepnya resep , daun singkong klop banget sm lalapan rebusan daun singkong loh , cabe orens , bawang putih , minyak panas , royco sapi , garam , gula pasir ga pengen pedas pake gula dikit"
014ed3d1c8724c6bae934c7c3e9b01a5,Ayam Geprek,ayam,"ayam potong , bumbu ayam ungkep haluskan , bawang putih , ketumbar , kunyit , asam jawa , garam , suka penyedap , daun jeruk , segelas air , sambal geprek , cabe rawit , cabe keriting , bawang putih , bawang merah , garam , minyak"
82504e8cd2964655992c56f837fab148,Chicken Pop Bumbu Sambel Bawang Tumis,ayam,"dada ayam , jeruk nipis , tepung , sambel , bawang merah , bawang putih , biji cabe rawit , biji cabe keriting , tomat , minyak goreng , garam , mecin , gula , terasi"
5d12aa5f7c89445b9252648c17c46f27,Ayam Ukep Bumbu Bebek,ayam,"ayam segar , bawang merah , bawang putih , ketumbar , kunir , jahe ayam tdk amis , serai digeprek , daun jeruk , lengkuas , jmlh krn gaada parutan , garam"
86069957235d448191ed3717bc8e5bd0,Soto Ayam Special,ayam,"ayam kampung , jeroan ayam , kentang , telur ayam , bawang merah taburan , bawang putih taburan , toge , seledri , jeruk nipis , bumbu , bawang merah , bawang putih , lengkuas , kunyit , kemiri , jahe , serai , daun jeruk"
5da649aed8ce4577abe43ff44937fd82,Ayam Goreng Tepung,ayam,"potong paha ayam , bawang putih , dihaluskan , garam , lada , kaldu bubuk , klo non msg anak , telur , tepung terigu , tepung maizena , garam diresep aslinya pake garam"
daa53af8c5414a70ad754b243e600ac2,Soto Ayam,ayam,"ayam , bumbu , bawang merah , bawang putih , kunyit , lengkuas , jahe , gula , garam , kaldu ayam , lada , ketumbar , serai geprek , daun salam , isian , kol tipis , daun sop , tauge , bawang goreng"
9c915a304a7f4f1db99078fad238f12c,Nugget Ayam Simpel,ayam,"ayam giling , bawang merah , bawang putih , tepung kanji , tepung oatmeal , telur ayam , brokoli , wortel , garam , kaldu jamur , celup , telur , tepung roti"
e75979ef97df4a0783c8fba4299e08a8,Ayam Goreng Ala Kentucky,ayam,"ayam negeri potong , tepung terigu segitiga biru , tepung maizena , bawang putih halus bawang putih powder , baking powder , garam , lada , lada hitam dihaluskan , biji ketumbar , kaldu bubuk , cabe bubuk , telur ayam , dancow putih , cuka dapur jeruk nipis lemon , air hangat"
